,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,date,change,changePercent
2019-09-25,297.62,298.11,294.33,295.96,SPY,73434081,HISTORICAL_PRICES,SPY,,1648509630000,1.1015393306030221,1.1015393306030221,295.96,297.62,298.11,294.33,73434081,284.4262,286.0215,286.4924,282.8597,73434081,"Sep 25, 19",1.75,0.0059
2019-09-26,297,297.86,295.45,297.63,SPY,58722357,HISTORICAL_PRICES,SPY,,1648509713000,1.0971614178788307,1.0971614178788307,297.63,297,297.86,295.45,58722357,286.0311,285.4256,286.2521,283.936,58722357,"Sep 26, 19",-0.6200000000000045,-0.0021
2019-09-27,295.4,297.9465,293.69,297.83,SPY,84781110,HISTORICAL_PRICES,SPY,,1648509731000,1.0858635785905943,1.0858635785905943,297.83,295.4,297.9465,293.69,84781110,286.2233,283.888,286.3352,282.2446,84781110,"Sep 27, 19",-1.6000000000000227,-0.0054
2019-09-30,296.77,297.55,295.92,295.97,SPY,52562761,HISTORICAL_PRICES,SPY,,1648509538000,1.0955373534811466,1.0955373534811466,295.97,296.77,297.55,295.92,52562761,284.4358,285.2046,285.9542,284.3877,52562761,"Sep 30, 19",1.3700000000000045,0.0046
2019-10-01,293.24,298.455,293,297.74,SPY,89900420,HISTORICAL_PRICES,SPY,,1648509490000,1.0706114955514758,1.0706114955514758,297.74,293.24,298.455,293,89900420,286.1368,281.8122,286.8239,281.5815,89900420,"Oct 1, 19",-3.5299999999999727,-0.0119
2019-10-02,288.06,291.51,286.64,291.5,SPY,124523974,HISTORICAL_PRICES,SPY,,1648509598000,1.0340347408558113,1.0340347408558113,291.5,288.06,291.51,286.64,124523974,280.14,276.834,280.1496,275.4694,124523974,"Oct 2, 19",-5.180000000000007,-0.0177
2019-10-03,290.42,290.45,284.82,287.81,SPY,85906799,HISTORICAL_PRICES,SPY,,1648509490000,1.0506990538059597,1.0506990538059597,287.81,290.42,290.45,284.82,85906799,276.5938,279.1021,279.1309,273.7203,85906799,"Oct 3, 19",2.3600000000000136,0.0082
2019-10-04,294.35,294.63,290.82,291.14,SPY,66700681,HISTORICAL_PRICES,SPY,,1648509556000,1.0784493715576897,1.0784493715576897,291.14,294.35,294.63,290.82,66700681,279.794,282.8789,283.148,279.4865,66700681,"Oct 4, 19",3.930000000000007,0.0135
2019-10-07,293.08,295.26,292.77,293.47,SPY,60656561,HISTORICAL_PRICES,SPY,,1648509768000,1.069481711622652,1.069481711622652,293.47,293.08,295.26,292.77,60656561,282.0332,281.6584,283.7534,281.3605,60656561,"Oct 7, 19",-1.2700000000000387,-0.0043
2019-10-08,288.53,291.85,288.49,291.04,SPY,101575470,HISTORICAL_PRICES,SPY,,1648509396000,1.0373534811467304,1.0373534811467304,291.04,288.53,291.85,288.49,101575470,279.6979,277.2857,280.4763,277.2473,101575470,"Oct 8, 19",-4.550000000000011,-0.0155
2019-10-09,291.27,292.3,288.6559,290.75,SPY,65707329,HISTORICAL_PRICES,SPY,,1648509713000,1.0567010309278349,1.0567010309278349,290.75,291.27,292.3,288.6559,65707329,279.4192,279.9189,280.9088,277.4067,65707329,"Oct 9, 19",2.740000000000009,0.0095
2019-10-10,293.24,294.21,291,291.18,SPY,57255974,HISTORICAL_PRICES,SPY,,1648509789000,1.0706114955514758,1.0706114955514758,291.18,293.24,294.21,291,57255974,279.8324,281.8122,282.7444,279.6595,57255974,"Oct 10, 19",1.9700000000000273,0.0068
2019-10-11,296.28,298.74,296.1448,296.27,SPY,101228577,HISTORICAL_PRICES,SPY,,1648509378000,1.092077390199124,1.092077390199124,296.27,296.28,298.74,296.1448,101228577,284.7241,284.7337,287.0978,284.6038,101228577,"Oct 11, 19",3.0399999999999636,0.0104
2019-10-14,295.95,296.67,295.57,295.93,SPY,40546668,HISTORICAL_PRICES,SPY,,1648509527000,1.0897472108459256,1.0897472108459256,295.93,295.95,296.67,295.57,40546668,284.3973,284.4165,285.1085,284.0514,40546668,"Oct 14, 19",-0.3299999999999841,-0.0011
2019-10-15,298.88,299.7,296.97,297.1,SPY,47832356,HISTORICAL_PRICES,SPY,,1648509538000,1.110436379042508,1.110436379042508,297.1,298.88,299.7,296.97,47832356,285.5217,287.2324,288.0204,285.3968,47832356,"Oct 15, 19",2.930000000000007,0.0099
2019-10-16,298.4,299.16,297.92,298.37,SPY,50563596,HISTORICAL_PRICES,SPY,,1648509538000,1.107047027256037,1.107047027256037,298.37,298.4,299.16,297.92,50563596,286.7422,286.7711,287.5015,286.3098,50563596,"Oct 16, 19",-0.4800000000000182,-0.0016
2019-10-17,299.28,300.24,298.515,299.68,SPY,46784885,HISTORICAL_PRICES,SPY,,1648509556000,1.1132608388645668,1.1132608388645668,299.68,299.28,300.24,298.515,46784885,288.0012,287.6168,288.5394,286.8816,46784885,"Oct 17, 19",0.8799999999999955,0.0029
2019-10-18,297.97,299.395,296.99,298.69,SPY,64338028,HISTORICAL_PRICES,SPY,,1648509378000,1.1040107329473239,1.1040107329473239,298.69,297.97,299.395,296.99,64338028,287.0498,286.3578,287.7273,285.416,64338028,"Oct 18, 19",-1.3099999999999454,-0.0044
2019-10-21,299.99,300.21,298.935,299.42,SPY,39460901,HISTORICAL_PRICES,SPY,,1648509490000,1.118274255048722,1.118274255048722,299.42,299.99,300.21,298.935,39460901,287.7513,288.2991,288.5105,287.2852,39460901,"Oct 21, 19",2.019999999999982,0.0068
2019-10-22,299.01,300.9,298.91,300.58,SPY,49126038,HISTORICAL_PRICES,SPY,,1648509598000,1.1113543284846772,1.1113543284846772,300.58,299.01,300.9,298.91,49126038,288.8661,287.3573,289.1736,287.2612,49126038,"Oct 22, 19",-0.9800000000000182,-0.0033
2019-10-23,299.88,299.94,298.495,298.73,SPY,34991829,HISTORICAL_PRICES,SPY,,1648509713000,1.1174975285976556,1.1174975285976556,298.73,299.88,299.94,298.495,34991829,287.0882,288.1934,288.2511,286.8624,34991829,"Oct 23, 19",0.8700000000000045,0.0029
2019-10-24,300.37,301.07,299.4601,300.91,SPY,35857459,HISTORICAL_PRICES,SPY,,1648509490000,1.120957491879678,1.120957491879678,300.91,300.37,301.07,299.4601,35857459,289.1833,288.6643,289.337,287.7899,35857459,"Oct 24, 19",0.4900000000000091,0.0016
2019-10-25,301.6,302.2,299.6806,299.74,SPY,45205412,HISTORICAL_PRICES,SPY,,1648509694000,1.1296427058325096,1.1296427058325096,299.74,301.6,302.2,299.6806,45205412,288.0588,289.8464,290.423,288.0018,45205412,"Oct 25, 19",1.2300000000000182,0.0041
2019-10-28,303.3,303.85,302.91,302.94,SPY,42146965,HISTORICAL_PRICES,SPY,,1648509694000,1.1416466600762605,1.1416466600762605,302.94,303.3,303.85,302.91,42146965,291.1341,291.4801,292.0087,291.1053,42146965,"Oct 28, 19",1.6999999999999886,0.0056
2019-10-29,303.21,304.23,302.86,303,SPY,44284921,HISTORICAL_PRICES,SPY,,1648509630000,1.1410111566162968,1.1410111566162968,303,303.21,304.23,302.86,44284921,291.1918,291.3936,292.3739,291.0573,44284921,"Oct 29, 19",-0.09000000000003183,-0.0003
2019-10-30,304.14,304.55,301.99,303.43,SPY,49643928,HISTORICAL_PRICES,SPY,,1648509396000,1.1475780257025843,1.1475780257025843,303.43,304.14,304.55,301.99,49643928,291.605,292.2874,292.6814,290.2212,49643928,"Oct 30, 19",0.9300000000000068,0.0031
2019-10-31,303.33,304.13,301.73,304.13,SPY,69053791,HISTORICAL_PRICES,SPY,,1648509538000,1.1418584945629147,1.1418584945629147,304.13,303.33,304.13,301.73,69053791,292.2778,291.5089,292.2778,289.9713,69053791,"Oct 31, 19",-0.8100000000000023,-0.0027
2019-11-01,306.14,306.19,304.74,304.92,SPY,71141515,HISTORICAL_PRICES,SPY,,1648509527000,1.1617003248128794,1.1617003248128794,304.92,306.14,306.19,304.74,71141515,293.037,294.2094,294.2575,292.864,71141515,"Nov 1, 19",2.8100000000000023,0.0093
2019-11-04,307.37,308,306.96,307.85,SPY,60606916,HISTORICAL_PRICES,SPY,,1648509378000,1.170385538765711,1.170385538765711,307.85,307.37,308,306.96,60606916,295.8528,295.3915,295.9969,294.9975,60606916,"Nov 4, 19",1.2300000000000182,0.004
2019-11-05,307.03,307.9195,306.71,307.59,SPY,42933219,HISTORICAL_PRICES,SPY,,1648509446000,1.1679847479169607,1.1679847479169607,307.59,307.03,307.9195,306.71,42933219,295.6029,295.0647,295.9196,294.7572,42933219,"Nov 5, 19",-0.34000000000003183,-0.0011
2019-11-06,307.1,307.4,306.06,307.03,SPY,46487108,HISTORICAL_PRICES,SPY,,1648509713000,1.1684790283858213,1.1684790283858213,307.03,307.1,307.4,306.06,46487108,295.0647,295.132,295.4203,294.1326,46487108,"Nov 6, 19",0.07000000000005002,0.0002
2019-11-07,308.18,309.65,307.66,308.57,SPY,54272274,HISTORICAL_PRICES,SPY,,1648509446000,1.1761050699053806,1.1761050699053806,308.57,308.18,309.65,307.66,54272274,296.5447,296.1699,297.5826,295.6702,54272274,"Nov 7, 19",1.079999999999984,0.0035
2019-11-08,308.94,309.0036,307.03,307.8,SPY,49068797,HISTORICAL_PRICES,SPY,,1648509695000,1.1814715435672927,1.1814715435672927,307.8,308.94,309.0036,307.03,49068797,295.8047,296.9003,296.9614,295.0647,49068797,"Nov 8, 19",0.7599999999999909,0.0025
2019-11-11,308.35,308.54,307.27,307.42,SPY,35934909,HISTORICAL_PRICES,SPY,,1648509446000,1.1773054653297559,1.1773054653297559,307.42,308.35,308.54,307.27,35934909,295.4396,296.3333,296.5159,295.2954,35934909,"Nov 11, 19",-0.589999999999975,-0.0019
2019-11-12,309,309.99,308.15,308.75,SPY,46484624,HISTORICAL_PRICES,SPY,,1648509731000,1.1818952125406015,1.1818952125406015,308.75,309,309.99,308.15,46484624,296.7177,296.958,297.9094,296.1411,46484624,"Nov 12, 19",0.6499999999999773,0.0021
2019-11-13,309.1,309.54,307.66,307.91,SPY,54459018,HISTORICAL_PRICES,SPY,,1648509598000,1.1826013274961165,1.1826013274961165,307.91,309.1,309.54,307.66,54459018,295.9105,297.0541,297.4769,295.6702,54459018,"Nov 13, 19",0.10000000000002274,0.0003
2019-11-14,309.55,309.64,308.09,308.79,SPY,52001874,HISTORICAL_PRICES,SPY,,1648509634000,1.1857788447959328,1.1857788447959328,308.79,309.55,309.64,308.09,52001874,296.7562,297.4865,297.573,296.0834,52001874,"Nov 14, 19",0.44999999999998863,0.0015
2019-11-15,311.79,311.84,310.26,311.02,SPY,62706192,HISTORICAL_PRICES,SPY,,1648509651000,1.2015958197994634,1.2015958197994634,311.02,311.79,311.84,310.26,62706192,298.8993,299.6392,299.6873,298.1689,62706192,"Nov 15, 19",2.240000000000009,0.0072
2019-11-18,312.02,312.28,311.03,311.53,SPY,49327980,HISTORICAL_PRICES,SPY,,1648509556000,1.203219884197147,1.203219884197147,311.53,312.02,312.28,311.03,49327980,299.3894,299.8603,300.1102,298.9089,49327980,"Nov 18, 19",0.22999999999996135,0.0007
2019-11-19,311.93,312.69,311.22,312.68,SPY,67927818,HISTORICAL_PRICES,SPY,,1648509789000,1.202584380737184,1.202584380737184,312.68,311.93,312.69,311.22,67927818,300.4946,299.7738,300.5042,299.0915,67927818,"Nov 19, 19",-0.08999999999997499,-0.0003
2019-11-20,310.77,311.85,309.06,311.28,SPY,79696276,HISTORICAL_PRICES,SPY,,1648509731000,1.1943934472532127,1.1943934472532127,311.28,310.77,311.85,309.06,79696276,299.1491,298.659,299.6969,297.0156,79696276,"Nov 20, 19",-1.160000000000025,-0.0037
2019-11-21,310.27,311.01,309.39,310.89,SPY,54664690,HISTORICAL_PRICES,SPY,,1648509446000,1.190862872475639,1.190862872475639,310.89,310.27,311.01,309.39,54664690,298.7743,298.1785,298.8896,297.3328,54664690,"Nov 21, 19",-0.5,-0.0016
2019-11-22,310.96,311.24,309.85,311.09,SPY,44850228,HISTORICAL_PRICES,SPY,,1648509556000,1.1957350656686907,1.1957350656686907,311.09,310.96,311.24,309.85,44850228,298.9665,298.8416,299.1107,297.7749,44850228,"Nov 22, 19",0.6899999999999977,0.0022
2019-11-25,313.37,313.37,311.98,311.98,SPY,48762676,HISTORICAL_PRICES,SPY,,1648509419000,1.2127524360965964,1.2127524360965964,311.98,313.37,313.37,311.98,48762676,299.8218,301.1577,301.1577,299.8218,48762676,"Nov 25, 19",2.410000000000025,0.0078
2019-11-26,314.08,314.28,313.06,313.41,SPY,37727953,HISTORICAL_PRICES,SPY,,1648509490000,1.217765852280751,1.217765852280751,313.41,314.08,314.28,313.06,37727953,301.1961,301.84,302.0322,300.8598,37727953,"Nov 26, 19",0.7099999999999795,0.0023
2019-11-27,315.48,315.48,314.37,314.61,SPY,44793179,HISTORICAL_PRICES,SPY,,1648509731000,1.227651461657958,1.227651461657958,314.61,315.48,315.48,314.37,44793179,302.3493,303.1854,303.1854,302.1187,44793179,"Nov 27, 19",1.400000000000034,0.0045
2019-11-29,314.31,315.13,314.06,314.86,SPY,36592740,HISTORICAL_PRICES,SPY,,1648509556000,1.2193899166784352,1.2193899166784352,314.86,314.31,315.13,314.06,36592740,302.5896,302.061,302.8491,301.8208,36592740,"Nov 29, 19",-1.170000000000016,-0.0037
2019-12-02,311.64,314.66,311.17,314.59,SPY,76110027,HISTORICAL_PRICES,SPY,,1648509538000,1.2005366473661911,1.2005366473661911,314.59,311.64,314.66,311.17,76110027,302.3301,299.4951,302.3974,299.0434,76110027,"Dec 2, 19",-2.670000000000016,-0.0085
2019-12-03,309.55,309.64,307.13,308.65,SPY,75172709,HISTORICAL_PRICES,SPY,,1648509598000,1.1857788447959328,1.1857788447959328,308.65,309.55,309.64,307.13,75172709,296.6216,297.4865,297.573,295.1609,75172709,"Dec 3, 19",-2.089999999999975,-0.0067
2019-12-04,311.46,312.12,310.32,310.7,SPY,49190402,HISTORICAL_PRICES,SPY,,1648509527000,1.1992656404462645,1.1992656404462645,310.7,311.46,312.12,310.32,49190402,298.5917,299.3221,299.9564,298.2265,49190402,"Dec 4, 19",1.9099999999999682,0.0062
2019-12-05,312.02,312.25,310.58,312.23,SPY,40781669,HISTORICAL_PRICES,SPY,,1648509651000,1.203219884197147,1.203219884197147,312.23,312.02,312.25,310.58,40781669,300.0621,299.8603,300.0813,298.4764,40781669,"Dec 5, 19",0.5600000000000023,0.0018
2019-12-06,314.87,315.31,314.11,314.12,SPY,48956767,HISTORICAL_PRICES,SPY,,1648509598000,1.2233441604293178,1.2233441604293178,314.12,314.87,315.31,314.11,48956767,301.8784,302.5992,303.0221,301.8688,48956767,"Dec 6, 19",2.8500000000000227,0.0091
2019-12-09,313.88,315.18,313.8,314.44,SPY,34904315,HISTORICAL_PRICES,SPY,,1648509651000,1.2163536223697218,1.2163536223697218,314.44,313.88,315.18,313.8,34904315,302.186,301.6478,302.8971,301.5709,34904315,"Dec 9, 19",-0.9900000000000091,-0.0031
2019-12-10,313.53,314.55,312.81,313.82,SPY,53107133,HISTORICAL_PRICES,SPY,,1648509556000,1.2138822200254198,1.2138822200254198,313.82,313.53,314.55,312.81,53107133,301.5901,301.3114,302.2917,300.6195,53107133,"Dec 10, 19",-0.35000000000002274,-0.0011
2019-12-11,314.42,314.7,313.4393,314.03,SPY,53521450,HISTORICAL_PRICES,SPY,,1648509768000,1.2201666431295015,1.2201666431295015,314.03,314.42,314.7,313.4393,53521450,301.792,302.1668,302.4358,301.2243,53521450,"Dec 11, 19",0.8900000000000432,0.0028
2019-12-12,317.13,317.99,314.17,314.43,SPY,96585802,HISTORICAL_PRICES,SPY,,1648509600000,1.2393023584239513,1.2393023584239513,314.43,317.13,317.99,314.17,96585802,302.1764,304.7711,305.5976,301.9265,96585802,"Dec 12, 19",2.7099999999999795,0.0086
2019-12-13,317.32,318.67,316.02,316.87,SPY,81546487,HISTORICAL_PRICES,SPY,,1648509419000,1.2406439768394293,1.2406439768394293,316.87,317.32,318.67,316.02,81546487,304.5213,304.9537,306.2511,303.7044,81546487,"Dec 13, 19",0.18999999999999773,0.0006
2019-12-16,319.5,320.15,317.2542,319.22,SPY,82836128,HISTORICAL_PRICES,SPY,,1648509446000,1.256037282869651,1.256037282869651,319.22,319.5,320.15,317.2542,82836128,306.7797,307.0488,307.6735,304.8905,82836128,"Dec 16, 19",2.180000000000007,0.0069
2019-12-17,319.57,320.25,319.48,319.92,SPY,61131769,HISTORICAL_PRICES,SPY,,1648509378000,1.2565315633385115,1.2565315633385115,319.92,319.57,320.25,319.48,61131769,307.4524,307.1161,307.7696,307.0296,61131769,"Dec 17, 19",0.06999999999999318,0.0002
2019-12-18,319.59,320.25,319.53,320,SPY,48199955,HISTORICAL_PRICES,SPY,,1648509695000,1.2566727863296143,1.2566727863296143,320,319.59,320.25,319.53,48199955,307.5293,307.1353,307.7696,307.0776,48199955,"Dec 18, 19",0.01999999999998181,0.0001
2019-12-19,320.9,320.98,319.5246,319.8,SPY,85388424,HISTORICAL_PRICES,SPY,,1648509527000,1.2659228922468575,1.2659228922468575,319.8,320.9,320.98,319.5246,85388424,307.3371,308.3942,308.4711,307.0724,85388424,"Dec 19, 19",1.3100000000000023,0.0041
2019-12-20,320.73,321.9742,319.3873,320.46,SPY,149338215,HISTORICAL_PRICES,SPY,,1648509651000,1.2647224968224828,1.2647224968224828,320.46,320.73,321.9742,319.3873,149338215,309.4855,309.7463,310.9479,308.4496,149338215,"Dec 20, 19",-0.16999999999995907,-0.0005
2019-12-23,321.22,321.65,321.06,321.59,SPY,53015641,HISTORICAL_PRICES,SPY,,1648509768000,1.268182460104505,1.268182460104505,321.59,321.22,321.65,321.06,53015641,310.5768,310.2195,310.6348,310.065,53015641,"Dec 23, 19",0.4900000000000091,0.0015
2019-12-24,321.23,321.52,320.9,321.47,SPY,20270007,HISTORICAL_PRICES,SPY,,1648509789000,1.2682530716000566,1.2682530716000566,321.47,321.23,321.52,320.9,20270007,310.4609,310.2291,310.5092,309.9104,20270007,"Dec 24, 19",0.009999999999990905,0
2019-12-26,322.94,322.95,321.64,321.65,SPY,31024188,HISTORICAL_PRICES,SPY,,1648509634000,1.2803276373393588,1.2803276373393588,321.65,322.94,322.95,321.64,31024188,310.6348,311.8806,311.8902,310.6251,31024188,"Dec 26, 19",1.7099999999999795,0.0053
2019-12-27,322.86,323.8,322.28,323.74,SPY,42554820,HISTORICAL_PRICES,SPY,,1648509789000,1.2797627453749472,1.2797627453749472,323.74,322.86,323.8,322.28,42554820,312.6532,311.8033,312.7111,311.2432,42554820,"Dec 27, 19",-0.07999999999998408,-0.0002
2019-12-30,321.08,323.1,320.55,322.95,SPY,49782730,HISTORICAL_PRICES,SPY,,1648509731000,1.2671938991667842,1.2671938991667842,322.95,321.08,323.1,320.55,49782730,311.8902,310.0843,312.0351,309.5724,49782730,"Dec 30, 19",-1.7800000000000296,-0.0055
2019-12-31,321.86,322.13,320.15,320.53,SPY,57106998,HISTORICAL_PRICES,SPY,,1648509527000,1.2727015958197996,1.2727015958197996,320.53,321.86,322.13,320.15,57106998,309.5531,310.8376,311.0983,309.1861,57106998,"Dec 31, 19",0.7800000000000296,0.0024
2020-01-02,324.87,324.89,322.53,323.54,SPY,59253833,HISTORICAL_PRICES,SPY,,1648509768000,1.2939556559807937,1.2939556559807937,323.54,324.87,324.89,322.53,59253833,312.46,313.7445,313.7638,311.4846,59253833,"Jan 2, 20",3.009999999999991,0.0094
2020-01-03,322.41,323.64,321.1,321.16,SPY,77783121,HISTORICAL_PRICES,SPY,,1648509731000,1.2765852280751306,1.2765852280751306,321.16,322.41,323.64,321.1,77783121,310.1615,311.3687,312.5566,310.1036,77783121,"Jan 3, 20",-2.4599999999999795,-0.0076
